Timestamp,Put in your MTurk ID to consent.,undocumented,female,hispanic,white,What is your date of birth? Give month and year only,abc,birthyear,What is your annual income (as you would report it in the Census)? ,income,What is the highest degree or level of school you have completed? ,educ,In which US State do you live?,region0,regionx,born_in_usa,born_usa,"if you are really paying attention, click strongly agree.",attention,Do you think the number of illegal immigrants to America nowadays should be... ,letin,"In the long run, do you think that people who are illegally immigrating to the United States today will make American society better, will make American society worse, or do you think that today's illegal immigrants won't affect American society one way or another? ",immimp,"Now I'm going to read you a series of statements and would like to get your reaction to them. After I read each statement, please tell me if you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the statement:                                                              “Illegal immigrants are getting too demanding in their push for equal rights.”"," “The Irish, Italians, Jews, and many other minorities overcame prejudice and worked their way up. Today's illegal immigrants should do the same without any special favors.”",“English will be threatened if other languages are frequently used in large illegal immigrant communities in the U.S.”,immrights,immfavor,immlang,immigrant_crimes,immigrant_ideas,immigrant_jobs,immigrant_growth,immigrant_united,immcrime,immideas,immjob,immgrowth,immunit,"“Recently, there have been several investigative reports regarding the condition of illegal immigrants being held in detention centers around the United States. The reports indicate that some detainees are held for long periods of time under inhumane conditions, lacking sufficient nutrition, proper sanitary facilities, access to legal counseling, or even contact with family members. The reports also discuss cases of medical negligence concerning the treatment of detainees with serious health problems. In one case, a detainee told authorities he was suffering from severe chest pain, profound shortness of breath, and dizziness, and asked for immediate medical attention. However, these situations require supervised transportation to a hospital several miles away from the detention center. In response, detention center officials denied the detainee this medical service because they considered him to be a flight risk. The officials said they had a reasonable cause to deny medical attention outside the facility. The detainee, on the other hand, said that the denial of medical attention was unwarranted and that his health was continuing to deteriorate.” Do you think the government should transport this illegal migrant to the hospital, at the risk of enabling him to escape? ",transport,With which U.S. party do you identify with?,party,media,"How much do you identify as conservative, moderate, or liberal?",polview,"“It is better to live in an orderly in which the laws are vigorously enforced than to give people too much freedom.” Do you agree strongly, agree somewhat, disagree somewhat, or disagree strongly with this statement?""",auth,"""white people""","""Latino people"" ",ethnocentrism, Question Is there anything else you would like to tell us about this survey? 
2019/08/07 11:32:36 PM GMT+8,AAQREZOK13OV7,0,0,0,1,Nov-88,1988,1988,"$25,001-50,000",37500,"1 or more years of college credit, no degree",13,NY,northeast,0,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Very likely,Not likely at all,Somewhat likely,Not likely at all,-2,2,-2,1,-2,Yes,1,Democrat,-1,3,Liberal,-2,Disagree strongly,-2,7,8,-1,98765
2019/08/07 11:32:38 PM GMT+8,AZ9BZONG644TU,0,1,0,1,04 1983,1983,1983,"$75,001-100,000",87500,"Associate’s degree (for example: AA, AS)",14,CA,west,3,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Disagree,Disagree,Disagree,-1,-1,-1,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Independent,0,4,Slightly liberal,-1,Disagree,-1,6,6,0,98765
2019/08/07 11:33:07 PM GMT+8,ALDWVFR4I0V2D,0,0,0,1,Jul-90,1990,1990,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,Rhode Island,northeast,0,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Neither disagree nor agree,Disagree,Disagree,0,-1,-1,Not too likely,Somewhat likely,Not likely at all,Somewhat likely,Not too likely,-1,1,-2,1,-1,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,8,8,0,98765
2019/08/07 11:33:16 PM GMT+8,AB66CTVQ90RCV,0,1,0,0,Sep-89,1989,1989,"$0-25,000",12500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,vt,northeast,0,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Very likely,Not likely at all,Very likely,Not likely at all,-2,2,-2,2,-2,Yes,1,Democrat,-1,3,Extremely liberal,-3,Disagree strongly,-2,5,10,-5,98765
2019/08/07 11:33:37 PM GMT+8,A266LNUJOVKCDS,0,1,1,1,18-Nov,,,"$50,001-75,000",62500,"1 or more years of college credit, no degree",13,arizona,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Neither disagree nor agree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,Not too likely,Not too likely,Not likely at all,Not too likely,Not too likely,-1,-1,-2,-1,-1,Yes,1,Democrat,-1,4,Slightly liberal,-1,Disagree strongly,-2,6,6,0,98765
2019/08/07 11:33:42 PM GMT+8,A1P6OXEJ86HQRM,0,0,0,1,Jun-82,1982,1982,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,Florida,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Somewhat likely,Not too likely,Somewhat likely,Not too likely,-2,1,-1,1,-1,Yes,1,Democrat,-1,4,Extremely liberal,-3,Disagree strongly,-2,6,6,0,98765
2019/08/07 11:33:54 PM GMT+8,AJW3PL5UDH4BP,0,0,0,1,Apr-83,1983,1983,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,Illinois,midwest,2,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not too likely,Very likely,Not at all likely,Very likely,2,-1,2,-2,2,No,0,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,10,5,5,98765
2019/08/07 11:34:06 PM GMT+8,A3U21PUMQ6NGT2,0,1,0,1,11/19891,1991,1991,"$0-25,000",12500,"1 or more years of college credit, no degree",13,Kentucky,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Strongly Disagree,Disagree,Strongly disagree,-2,-1,-2,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Democrat,-1,1,Liberal,-2,Disagree,-1,8,8,0,98765
2019/08/07 11:34:15 PM GMT+8,A27SMEOPKV84VI,0,1,0,1,Jul-82,1982,1982,"$75,001-100,000",87500,Regular high school diploma,18,PA,northeast,0,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Agree,Strongly agree,Disagree,1,2,-1,Not likely at all,Very likely,Not likely at all,Not at all likely,Somewhat likely,-2,2,-2,-2,1,Yes,1,Republican,1,6,Conservative,2,Disagree,-1,8,6,2,98765
2019/08/07 11:34:41 PM GMT+8,A2PXJTMWGUE5DC,0,1,0,1,Mar-59,1959,1959,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,WA,west,3,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Neither disagree nor agree,Agree,Neither agree nor disagree,0,1,0,Very likely,Not likely at all,Somewhat likely,Not at all likely,Very likely,2,-2,1,-2,2,No,0,Republican,1,3,Conservative,2,Agree,1,6,6,0,A2PXJTMWGUE5DC
2019/08/07 11:34:56 PM GMT+8,A2NJ6AR78O07FD,0,1,0,1,Oct-79,1979,1979,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,Minnesota,midwest,2,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not too likely,Very likely,Not at all likely,Very likely,2,-1,2,-2,2,Yes,1,Republican,1,6,Conservative,2,Agree,1,8,6,2,98765
2019/08/07 11:35:23 PM GMT+8,A1TLNLB9D87H6,0,1,0,1,Feb-84,1984,1984,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,PA,northeast,0,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Strongly Disagree,Agree,Strongly disagree,-2,1,-2,Not too likely,Very likely,Not likely at all,Not too likely,Not too likely,-1,2,-2,-1,-1,Yes,1,Democrat,-1,2,Liberal,-2,Disagree,-1,10,10,0,98765
2019/08/07 11:35:25 PM GMT+8,AE4FRGGT254D3,0,0,0,1,Mar-19,2019,2019,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,NC,south,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Very likely,Very likely,Not too likely,Very likely,2,2,2,-1,2,Yes,1,Republican,1,4,Moderate,0,Agree,1,10,10,0,98765
2019/08/07 11:36:03 PM GMT+8,A2EKR2ZFO10VMV,0,1,0,1,Apr-91,1991,1991,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,California,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Very likely,Not too likely,Somewhat likely,Not too likely,-2,2,-1,1,-1,Yes,1,Democrat,-1,3,Extremely liberal,-3,Disagree strongly,-2,6,6,0,98765
